Fecha de creación del retiro (date_created);Número de retiro (withdraw_id);Estado del retiro (status);Monto del retiro (amount);Tarifa del retiro (fee)
06/07/2022 21:08:03;23782215850;approved;1000BRL;{}
26/06/2022 15:11:19;23489613321;approved;1000BRL;{}
09/06/2022 22:28:30;23053286371;approved;1000BRL;{}
29/05/2022 10:33:58;22722096422;approved;1000BRL;{}
17/05/2022 09:19:39;22422584880;approved;1000BRL;{}
06/05/2022 15:42:27;22145213265;approved;1000BRL;{}
21/04/2022 12:17:14;21766770186;approved;1000BRL;{}
09/04/2022 09:39:38;21477207306;approved;1000BRL;{}
08/04/2022 21:29:06;21469045902;approved;1000BRL;{}
22/03/2022 14:34:31;21046769535;approved;1000BRL;{}
09/03/2022 21:53:48;20746488700;approved;1000BRL;{}
26/02/2022 23:10:42;20487778426;approved;1000BRL;{}
16/02/2022 08:01:48;20236273095;approved;1000BRL;{}
07/02/2022 10:58:27;20024005077;approved;1000BRL;{}
27/01/2022 08:52:47;19776586520;approved;1000BRL;{}
10/01/2022 10:45:25;19416249114;approved;1000BRL;{}
04/01/2022 22:54:44;19289393961;approved;1000BRL;{}
09/12/2021 09:29:17;18707336755;approved;1000BRL;{}
02/12/2021 15:01:33;18552651364;approved;1000BRL;{}
17/11/2021 22:42:01;18247314007;approved;1000BRL;{}
01/11/2021 07:59:42;17473703705;approved;1000BRL;{}
03/10/2021 15:04:25;17317490181;approved;1000BRL;{}
